"Date Printed: Sunday, March 16, 2025 10:32:39 PM"
Title: "AIDS deaths | AIDS prevalence | HIV Stigma | HIV deaths | HIV diagnoses | HIV prevalence | Linkage to HIV care | PrEP coverage and number of persons prescribed | Receipt of HIV medical care | Unstable Housing or Homelessness | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2023 and 2024 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Numbers less than 12͵ and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
   Death data for the year 2022 are preliminary and based on death data received by CDC as of December 2023. Deaths in 2020 and beyond should be interpreted considering the impact of the COVID-19 pandemic. For additional information͵ see <a href=https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm>https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm</a>. Death data based on residence at death. See Technical Notes for death reporting by jurisdiction.
   Prevalence data for the year 2022 are preliminary and based on death data received by CDC as of December 2023. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
   Linkage to care is based on cases diagnosed during the year queried.
   Receipt of care is based on persons living with diagnosed HIV at the end of the year queried.PrEP coverage͵ reported as a percentage͵ is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP. To allow for comparison with other HIV indicators͵ data are presented for ≥13‒ and 13‒24-year-olds͵ but represent ≥16‒ and 16‒24-years-olds͵ respectively. CDC has paused PrEP coverage reporting to determine the best methodology for calculating PrEP coverage͵ and to update PrEP coverage estimates using updated methods and sources. Until updated PrEP coverage estimates are published͵ CDC advises against citing specific PrEP coverage data points͵ as historical estimates will be updated.
   Weighted percentages for unstable housing or homelessness and median HIV stigma scores are reported in the ‘Rate per 100͵000’ column with corresponding 95% confidence intervals reported in the ‘Rate LCI’ and ‘Rate UCI’ columns within the Charts and Maps tools or in parentheses within the ‘Rate per 100͵000’ column within the Tables tool.
   To allow for comparison with other HIV indicators͵ data are presented for persons aged ≥13 years and aged 13-24 years. However͵ these estimates are representative of persons with diagnosed HIV aged ≥18 years and 18-24 years͵ respectively. 
   For unstable housing or homelessness͵ estimates with a coefficient of variation ≥0.30 or those based on a denominator sample size less than 30 were suppressed. For HIV stigma͵ estimates based on a denominator sample size less than 30 were suppressed.
   See Technical Notes for more details on data availability͵ stratifications͵ and variable definitions.
   * Estimates with an absolute CI width ≥30͵ estimates with an absolute CI width between 5 and 30 and a relative CI width greater than 130%͵ and estimates of 0% or 100% should be interpreted with caution.
   ^ Jurisdiction with incomplete reporting of deaths for most recent year.
   The 'Sex' column is used for either sex assigned at birth or gender identity.
   NA - Not applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000 (95% CI),Percent
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Texas","48","No Suppression","22.4 (16.7 - 28.0)","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Utah","49","2,321","NA","74.1"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Utah","49","2,360","NA","34.5"
"HIV prevalence","2020 (COVID-19 Pandemic)","Utah","49","3,266","124.6","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Utah","49","1,511","57.6","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Utah","49","22","0.8","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Utah","49","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Utah","49","31","1.2","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Utah","49","132","5.0","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Utah","49","111","NA","84.7"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Utah","49","Data not available","Data not available","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Vermont","50","9","1.6","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Vermont","50","370","65.8","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Vermont","50","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Vermont","50","13","2.3","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Vermont","50","13","2.3","NA"
"HIV prevalence","2020 (COVID-19 Pandemic)","Vermont","50","711","126.5","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Vermont","50","Data not available","NA","Data not available"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Vermont","50","322","NA","30.4"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Vermont","50","Data not available","NA","Data not available"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Vermont","50","Data not available","Data not available","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Virginia","51","16,399","NA","70.0"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Virginia","51","5,107","NA","16.2"
"HIV prevalence","2020 (COVID-19 Pandemic)","Virginia","51","23,726","325.0","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Virginia","51","11,158","152.9","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Virginia","51","295","4.0","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Virginia","51","No Suppression","29.7 (24.6 - 34.7)","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Virginia","51","397","5.4","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Virginia","51","620","8.5","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Virginia","51","512","NA","81.5"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Virginia","51","No Suppression","12.3 (6.3 - 18.4)","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Washington","53","11,541","NA","83.2"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Washington","53","10,106","NA","25.2"
"HIV prevalence","2020 (COVID-19 Pandemic)","Washington","53","14,206","217.8","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Washington","53","7,169","109.9","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Washington","53","147","2.3","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Washington","53","No Suppression","31.4 (27.7 - 35.0)","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Washington","53","183","2.8","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Washington","53","416","6.4","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Washington","53","373","NA","88.6"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Washington","53","No Suppression","12.4 (6.7 - 18.0)","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","West Virginia","54","1,377","NA","70.6"
"HIV Stigma","2020 (COVID-19 Pandemic)","West Virginia","54","Data not available","Data not available","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","West Virginia","54","139","9.0","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","West Virginia","54","99","NA","71.2"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","West Virginia","54","523","NA","10.0"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","West Virginia","54","Data not available","Data not available","NA"
"HIV prevalence","2020 (COVID-19 Pandemic)","West Virginia^","54","2,092","135.9","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","West Virginia^","54","1,028","66.8","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","West Virginia^","54","35","2.3","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","West Virginia^","54","53","3.4","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Wisconsin","55","5,125","NA","79.7"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Wisconsin","55","2,532","NA","19.5"
"HIV prevalence","2020 (COVID-19 Pandemic)","Wisconsin","55","6,585","131.6","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Wisconsin","55","3,104","62.0","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Wisconsin","55","78","1.6","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Wisconsin","55","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Wisconsin","55","106","2.1","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Wisconsin","55","213","4.3","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Wisconsin","55","185","NA","86.9"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Wisconsin","55","Data not available","Data not available","NA"
"AIDS deaths","2019","Connecticut","09","168","5.5","NA"
"HIV Stigma","2019","Connecticut","09","Data not available","Data not available","NA"
"HIV deaths","2019","Connecticut","09","204","6.7","NA"
"HIV diagnoses","2019","Connecticut","09","206","6.7","NA"
"Linkage to HIV care","2019","Connecticut","09","186","NA","87.3"
"Unstable Housing or Homelessness","2019","Connecticut","09","Data not available","Data not available","NA"
"Receipt of HIV medical care","2019","Delaware","10","2,749","NA","83.7"
"HIV prevalence","2019","Delaware","10","3,367","405.4","NA"
"AIDS prevalence","2019","Delaware","10","2,010","242.0","NA"
"AIDS deaths","2019","Delaware","10","62","7.5","NA"
"HIV Stigma","2019","Delaware","10","No Suppression","27.9 (24.9 - 31.0)","NA"
"HIV deaths","2019","Delaware","10","76","9.2","NA"
"HIV diagnoses","2019","Delaware","10","93","11.2","NA"
"Linkage to HIV care","2019","Delaware","10","71","NA","76.3"
"PrEP coverage and number of persons prescribed","2019","Delaware","10","492","NA","11.2"
"Unstable Housing or Homelessness","2019","Delaware","10","No Suppression","15.8 (10.7 - 21.0)","NA"
"Receipt of HIV medical care","2019","District of Columbia","11","9,463","NA","68.7"
"PrEP coverage and number of persons prescribed","2019","District of Columbia","11","5,935","NA","45.8"
"HIV prevalence","2019","District of Columbia","11","13,971","2303.6","NA"
"AIDS prevalence","2019","District of Columbia","11","7,391","1218.7","NA"
"AIDS deaths","2019","District of Columbia","11","149","24.6","NA"
"HIV Stigma","2019","District of Columbia","11","Data not available","Data not available","NA"
"HIV deaths","2019","District of Columbia","11","204","33.6","NA"
"HIV diagnoses","2019","District of Columbia","11","255","42.0","NA"
"Linkage to HIV care","2019","District of Columbia","11","210","NA","82.4"
"Unstable Housing or Homelessness","2019","District of Columbia","11","Data not available","Data not available","NA"
"Receipt of HIV medical care","2019","Florida","12","84,213","NA","77.1"
"PrEP coverage and number of persons prescribed","2019","Florida","12","21,904","NA","17.5"
"Linkage to HIV care","2019","Florida","12","3,662","NA","83.6"
"HIV prevalence","2019","Florida","12","113,278","613.5","NA"
"HIV diagnoses","2019","Florida","12","4,010","21.7","NA"
"HIV deaths","2019","Florida","12","1,991","10.8","NA"
"AIDS prevalence","2019","Florida","12","59,544","322.5","NA"
"AIDS deaths","2019","Florida","12","1,554","8.4","NA"
"HIV Stigma","2019","Florida","12","No Suppression","30.2 (26.8 - 33.6)","NA"
"Unstable Housing or Homelessness","2019","Florida","12","No Suppression","17.4 (12.5 - 22.2)","NA"
"Receipt of HIV medical care","2019","Georgia","13","39,619","NA","73.3"
"PrEP coverage and number of persons prescribed","2019","Georgia","13","8,686","NA","22.3"
"Linkage to HIV care","2019","Georgia","13","1,961","NA","80.4"
"HIV prevalence","2019","Georgia","13","56,487","638.2","NA"
"HIV diagnoses","2019","Georgia","13","2,418","27.3","NA"
"AIDS prevalence","2019","Georgia","13","27,903","315.3","NA"
"AIDS deaths","2019","Georgia","13","642","7.3","NA"
"HIV Stigma","2019","Georgia","13","No Suppression","30.4 (26.4 - 34.3)","NA"
"HIV deaths","2019","Georgia","13","828","9.4","NA"
"Unstable Housing or Homelessness","2019","Georgia","13","No Suppression","25.4 (18.8 - 31.9)","NA"
"Receipt of HIV medical care","2019","Hawaii","15","1,925","NA","82.8"
"HIV prevalence","2019","Hawaii","15","2,349","196.9","NA"
"AIDS prevalence","2019","Hawaii","15","1,329","111.4","NA"
"AIDS deaths","2019","Hawaii","15","39","3.3","NA"
"HIV Stigma","2019","Hawaii","15","Data not available","Data not available","NA"
"HIV deaths","2019","Hawaii","15","43","3.6","NA"
"HIV diagnoses","2019","Hawaii","15","64","5.4","NA"
"Linkage to HIV care","2019","Hawaii","15","55","NA","84.6"
"PrEP coverage and number of persons prescribed","2019","Hawaii","15","820","NA","18.8"
"Unstable Housing or Homelessness","2019","Hawaii","15","Data not available","Data not available","NA"
"HIV prevalence","2019","Idaho","16","1,239","84.2","NA"
"AIDS deaths","2019","Idaho","16","11","0.7","NA"
"AIDS prevalence","2019","Idaho","16","611","41.5","NA"
"HIV Stigma","2019","Idaho","16","Data not available","Data not available","NA"
"HIV deaths","2019","Idaho","16","11","0.7","NA"
"HIV diagnoses","2019","Idaho","16","34","2.3","NA"
"Linkage to HIV care","2019","Idaho","16","Data not available","NA","Data not available"
"PrEP coverage and number of persons prescribed","2019","Idaho","16","482","NA","10.1"
"Receipt of HIV medical care","2019","Idaho","16","Data not available","NA","Data not available"
"Unstable Housing or Homelessness","2019","Idaho","16","Data not available","Data not available","NA"
"Receipt of HIV medical care","2019","Illinois","17","24,366","NA","70.5"
"PrEP coverage and number of persons prescribed","2019","Illinois","17","16,659","NA","29.8"
"Linkage to HIV care","2019","Illinois","17","1,042","NA","83.2"
"HIV prevalence","2019","Illinois","17","35,537","333.0","NA"
"HIV diagnoses","2019","Illinois","17","1,295","12.1","NA"
"AIDS prevalence","2019","Illinois","17","17,416","163.2","NA"
"AIDS deaths","2019","Illinois","17","414","3.9","NA"
"HIV Stigma","2019","Illinois","17","No Suppression","32.3 (27.6 - 36.9)","NA"
"HIV deaths","2019","Illinois","17","551","5.2","NA"
"Unstable Housing or Homelessness","2019","Illinois","17","No Suppression","20.6 (14.0 - 27.1)","NA"
"Receipt of HIV medical care","2019","Indiana","18","8,070","NA","72.4"
"PrEP coverage and number of persons prescribed","2019","Indiana","18","2,983","NA","13.5"
"HIV prevalence","2019","Indiana","18","11,545","205.7","NA"
"AIDS prevalence","2019","Indiana","18","5,614","100.0","NA"
"AIDS deaths","2019","Indiana","18","130","2.3","NA"
"HIV Stigma","2019","Indiana","18","No Suppression","29.5 (26.1 - 32.8)","NA"
"HIV deaths","2019","Indiana","18","164","2.9","NA"
"HIV diagnoses","2019","Indiana","18","481","8.6","NA"
"Linkage to HIV care","2019","Indiana","18","307","NA","63.2"
"Unstable Housing or Homelessness","2019","Indiana","18","No Suppression","23.9 (17.1 - 30.6)","NA"
"Receipt of HIV medical care","2019","Rhode Island","44","2,206","NA","85.4"
"PrEP coverage and number of persons prescribed","2019","Rhode Island","44","1,092","NA","28.1"
"HIV prevalence","2019","Rhode Island","44","2,656","290.4","NA"
"AIDS prevalence","2019","Rhode Island","44","1,426","155.9","NA"
"AIDS deaths","2019","Rhode Island","44","35","3.8","NA"
"HIV Stigma","2019","Rhode Island","44","Data not available","Data not available","NA"
"HIV deaths","2019","Rhode Island","44","41","4.5","NA"
"HIV diagnoses","2019","Rhode Island","44","72","7.9","NA"
"Linkage to HIV care","2019","Rhode Island","44","65","NA","90.3"
"Unstable Housing or Homelessness","2019","Rhode Island","44","Data not available","Data not available","NA"
"Receipt of HIV medical care","2019","South Carolina","45","13,701","NA","81.0"
"PrEP coverage and number of persons prescribed","2019","South Carolina","45","1,719","NA","16.5"
"HIV prevalence","2019","South Carolina","45","17,349","397.9","NA"
"AIDS prevalence","2019","South Carolina","45","9,107","208.9","NA"
"AIDS deaths","2019","South Carolina","45","233","5.3","NA"
"HIV Stigma","2019","South Carolina","45","Data not available","Data not available","NA"
"HIV deaths","2019","South Carolina","45","313","7.2","NA"
"HIV diagnoses","2019","South Carolina","45","721","16.5","NA"
"Linkage to HIV care","2019","South Carolina","45","596","NA","87.6"
"Unstable Housing or Homelessness","2019","South Carolina","45","Data not available","Data not available","NA"
"AIDS deaths","2019","South Dakota","46","8","1.1","NA"
"AIDS prevalence","2019","South Dakota","46","296","40.7","NA"
"HIV Stigma","2019","South Dakota","46","Data not available","Data not available","NA"
"HIV deaths","2019","South Dakota","46","11","1.5","NA"
"HIV diagnoses","2019","South Dakota","46","34","4.7","NA"
"HIV prevalence","2019","South Dakota","46","645","88.6","NA"
"Linkage to HIV care","2019","South Dakota","46","26","NA","78.8"
"PrEP coverage and number of persons prescribed","2019","South Dakota","46","149","NA","16.4"
"Receipt of HIV medical care","2019","South Dakota","46","506","NA","81.9"
"Unstable Housing or Homelessness","2019","South Dakota","46","Data not available","Data not available","NA"
"Receipt of HIV medical care","2019","Tennessee","47","13,929","NA","82.1"
"PrEP coverage and number of persons prescribed","2019","Tennessee","47","3,897","NA","17.4"
"HIV prevalence","2019","Tennessee","47","17,802","309.7","NA"
"AIDS prevalence","2019","Tennessee","47","8,582","149.3","NA"
"AIDS deaths","2019","Tennessee","47","245","4.3","NA"
"HIV Stigma","2019","Tennessee","47","Data not available","Data not available","NA"
"HIV deaths","2019","Tennessee","47","314","5.5","NA"
"HIV diagnoses","2019","Tennessee","47","767","13.3","NA"
"Linkage to HIV care","2019","Tennessee","47","534","NA","69.1"
"Unstable Housing or Homelessness","2019","Tennessee","47","Data not available","Data not available","NA"
"Receipt of HIV medical care","2019","Texas","48","68,574","NA","75.5"
"PrEP coverage and number of persons prescribed","2019","Texas","48","23,192","NA","18.7"
"Linkage to HIV care","2019","Texas","48","3,210","NA","74.6"
"HIV prevalence","2019","Texas","48","94,849","400.8","NA"
"HIV diagnoses","2019","Texas","48","4,370","18.5","NA"
"HIV deaths","2019","Texas","48","1,473","6.2","NA"
"AIDS prevalence","2019","Texas","48","46,425","196.2","NA"
"AIDS deaths","2019","Texas","48","1,143","4.8","NA"
"HIV Stigma","2019","Texas","48","No Suppression","32.1 (29.2 - 35.0)","NA"
"Unstable Housing or Homelessness","2019","Texas","48","No Suppression","23.7 (18.4 - 29.1)","NA"
"Receipt of HIV medical care","2019","Utah","49","2,287","NA","77.6"
"PrEP coverage and number of persons prescribed","2019","Utah","49","2,036","NA","29.8"
"HIV prevalence","2019","Utah","49","3,088","121.7","NA"
"AIDS prevalence","2019","Utah","49","1,457","57.4","NA"
"AIDS deaths","2019","Utah","49","31","1.2","NA"
"HIV Stigma","2019","Utah","49","Data not available","Data not available","NA"
"HIV deaths","2019","Utah","49","37","1.5","NA"
"HIV diagnoses","2019","Utah","49","137","5.4","NA"
"Linkage to HIV care","2019","Utah","49","106","NA","78.5"
"Unstable Housing or Homelessness","2019","Utah","49","Data not available","Data not available","NA"
"AIDS deaths","2019","Vermont","50","10","1.8","NA"
"AIDS prevalence","2019","Vermont","50","367","67.4","NA"
"HIV Stigma","2019","Vermont","50","Data not available","Data not available","NA"
"HIV deaths","2019","Vermont","50","13","2.4","NA"
"HIV diagnoses","2019","Vermont","50","11","2.0","NA"
"HIV prevalence","2019","Vermont","50","706","129.7","NA"
"Linkage to HIV care","2019","Vermont","50","Data not available","NA","Data not available"
"PrEP coverage and number of persons prescribed","2019","Vermont","50","338","NA","31.9"
"Receipt of HIV medical care","2019","Vermont","50","Data not available","NA","Data not available"
"Unstable Housing or Homelessness","2019","Vermont","50","Data not available","Data not available","NA"
"Receipt of HIV medical care","2019","Virginia","51","15,972","NA","69.8"
"PrEP coverage and number of persons prescribed","2019","Virginia","51","4,401","NA","14.0"
"HIV prevalence","2019","Virginia","51","23,442","324.9","NA"
"AIDS prevalence","2019","Virginia","51","11,050","153.1","NA"
"AIDS deaths","2019","Virginia","51","255","3.5","NA"
"HIV Stigma","2019","Virginia","51","No Suppression","34.7 (31.1 - 38.2)","NA"
"HIV deaths","2019","Virginia","51","327","4.5","NA"
"HIV diagnoses","2019","Virginia","51","833","11.5","NA"
"Linkage to HIV care","2019","Virginia","51","647","NA","78.7"
"Unstable Housing or Homelessness","2019","Virginia","51","No Suppression","20.1 (13.6 - 26.6)","NA"
"Receipt of HIV medical care","2019","Washington","53","11,688","NA","86.3"
"PrEP coverage and number of persons prescribed","2019","Washington","53","9,920","NA","24.8"
"HIV prevalence","2019","Washington","53","13,883","216.7","NA"
"AIDS prevalence","2019","Washington","53","7,138","111.4","NA"
"AIDS deaths","2019","Washington","53","147","2.3","NA"
"HIV Stigma","2019","Washington","53","No Suppression","24.0 (20.7 - 27.3)","NA"
"HIV deaths","2019","Washington","53","179","2.8","NA"
"HIV diagnoses","2019","Washington","53","478","7.5","NA"
"Linkage to HIV care","2019","Washington","53","432","NA","89.4"
"Unstable Housing or Homelessness","2019","Washington","53","No Suppression","18.4 (12.4 - 24.4)","NA"
"Receipt of HIV medical care","2019","West Virginia","54","1,373","NA","74.3"
"HIV Stigma","2019","West Virginia","54","Data not available","Data not available","NA"
"HIV diagnoses","2019","West Virginia","54","153","9.9","NA"
"Linkage to HIV care","2019","West Virginia","54","107","NA","73.3"
"PrEP coverage and number of persons prescribed","2019","West Virginia","54","570","NA","10.9"
"Unstable Housing or Homelessness","2019","West Virginia","54","Data not available","Data not available","NA"
"HIV prevalence","2019","West Virginia^","54","1,972","128.1","NA"
"AIDS prevalence","2019","West Virginia^","54","1,008","65.5","NA"
"AIDS deaths","2019","West Virginia^","54","33","2.1","NA"
"HIV deaths","2019","West Virginia^","54","47","3.1","NA"
"Receipt of HIV medical care","2019","Wisconsin","55","5,204","NA","82.9"
"PrEP coverage and number of persons prescribed","2019","Wisconsin","55","2,476","NA","19.1"
"HIV prevalence","2019","Wisconsin","55","6,432","130.5","NA"
"AIDS prevalence","2019","Wisconsin","55","3,066","62.2","NA"
"AIDS deaths","2019","Wisconsin","55","66","1.3","NA"
"HIV Stigma","2019","Wisconsin","55","Data not available","Data not available","NA"
"HIV deaths","2019","Wisconsin","55","88","1.8","NA"
"HIV diagnoses","2019","Wisconsin","55","209","4.2","NA"
"Linkage to HIV care","2019","Wisconsin","55","190","NA","90.0"
"Unstable Housing or Homelessness","2019","Wisconsin","55","Data not available","Data not available","NA"
"AIDS deaths","2019","Wyoming","56","4","0.8","NA"
"AIDS prevalence","2019","Wyoming","56","177","36.5","NA"
"HIV Stigma","2019","Wyoming","56","Data not available","Data not available","NA"
"HIV deaths","2019","Wyoming","56","5","1.0","NA"
"HIV diagnoses","2019","Wyoming","56","13","2.7","NA"
"HIV prevalence","2019","Wyoming","56","346","71.4","NA"
"Linkage to HIV care","2019","Wyoming","56","13","NA","100.0"
"PrEP coverage and number of persons prescribed","2019","Wyoming","56","93","NA","10.4"
"Receipt of HIV medical care","2019","Wyoming","56","273","NA","82.0"
"Unstable Housing or Homelessness","2019","Wyoming","56","Data not available","Data not available","NA"
"AIDS deaths","2018","Alabama","01","168","4.1","NA"
"HIV Stigma","2018","Alabama","01","Data not available","Data not available","NA"
"HIV deaths","2018","Alabama","01","235","5.7","NA"
"HIV diagnoses","2018","Alabama","01","606","14.7","NA"
"Linkage to HIV care","2018","Alabama","01","488","NA","80.4"
"Unstable Housing or Homelessness","2018","Alabama","01","Data not available","Data not available","NA"
"AIDS deaths","2018","Alaska","02","8","1.3","NA"
"AIDS prevalence","2018","Alaska","02","374","62.2","NA"
"HIV Stigma","2018","Alaska","02","Data not available","Data not available","NA"
"HIV deaths","2018","Alaska","02","9","1.5","NA"
